14 
BKK AYA LRI PKN KBI NMA CMI CRI MSN STI CBI CTI KRI RBR 
0 82 177 274 781 287 682 789 801 465 124 256 240 127 
82 0 115 314 842 259 615 715 730 395 182 315 258 185 
177 115 0 446 950 187 581 650 709 352 271 404 349 291 
274 314 446 0 543 556 981 1029 1041 705 357 490 374 186 
781 842 950 538 0 1060 1509 1557 1569 1233 886 1019 902 714 
287 259 187 528 1059 0 783 798 889 500 271 324 488 401 
682 615 581 927 1455 730 0 185 197 265 794 919 676 753 
789 715 650 1029 1557 798 176 0 460 376 893 1081 790 863 
801 730 709 1041 1569 889 240 427 0 411 908 1033 785 868 
465 388 351 708 1237 502 319 377 411 0 564 697 423 525 
124 187 275 356 888 274 794 896 908 572 0 137 367 238 
256 311 377 489 1021 327 981 1029 1041 705 137 0 500 371 
240 147 222 249 764 363 724 760 782 436 247 371 0 84 
127 185 298 186 717 408 753 863 875 508 240 363 86 0 
