spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor,LISA,1,0,0,TH,2024-10-18,87,False,155757,Moonlit Floor,2024-10-03,0.733,0.786,5,-3.951,0,0.112,0.128,0.0,0.31,0.672,109.954,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,2,0,0,TH,2024-10-18,93,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4
2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,3,0,47,TH,2024-10-18,83,True,136627,Mantra,2024-10-10,0.894,0.725,10,-4.984,0,0.0432,0.00434,1.15e-05,0.0815,0.838,116.988,4
2N0SPREDYqILVEFSsWF5N5,Love Me Again,V,4,0,-1,TH,2024-10-18,86,False,182293,Layover,2023-08-11,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,4
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,5,0,-1,TH,2024-10-18,89,False,206019,GOLDEN,2023-11-03,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),"LISA, ROSALÍA",6,0,-1,TH,2024-10-18,89,False,179789,New Woman (feat. ROSALÍA),2024-08-15,0.477,0.854,7,-4.715,1,0.275,0.0858,0.0,0.065,0.314,140.515,5
4pygz13A6EcLL6ti7kqGaf,Super Tuna,Jin,7,0,43,TH,2024-10-18,79,False,114693,Super Tuna,2024-10-11,0.641,0.964,8,-4.041,0,0.149,0.0063,0.0,0.0447,0.601,165.005,4
5sjnkOfTLCLNfkkchI2re2,UP - KARINA Solo,aespa,8,0,8,TH,2024-10-18,77,False,166640,SYNK : PARALLEL LINE - Special Digital Single,2024-10-09,0.777,0.781,6,-4.479,0,0.043,0.0137,2.77e-06,0.0466,0.382,98.97,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",9,2,-3,TH,2024-10-18,100,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3
2VdSktBqFfkW7y6q5Ik4Z4,Supernova,aespa,10,40,2,TH,2024-10-18,74,False,178880,Armageddon - The 1st Album,2024-05-27,0.745,0.747,11,-4.278,0,0.0815,0.0073,1.69e-06,0.0738,0.363,120.073,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,11,1,0,TH,2024-10-18,98,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
4RiudH8RehvLLrk8uNgIdR,Nightwalker,TEN,12,-3,-4,TH,2024-10-18,76,False,204373,TEN - The 1st Mini Album,2024-02-13,0.439,0.704,7,-5.162,1,0.108,0.111,3.28e-05,0.33,0.576,128.038,4
6BN3iFjclJ4teGlmB3fFvo,Yours Ever,"Cocktail, Q Flure",13,0,26,TH,2024-10-18,59,False,259380,Yours Ever,2024-08-29,0.614,0.883,3,-4.846,1,0.0284,0.0446,0.0,0.257,0.781,92.003,4
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",14,-4,-1,TH,2024-10-18,85,True,183550,GOLDEN,2023-11-03,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,4
