name,avg_temp,total_rain
28 (feat. NiiHWA),29,11
3D (feat. Jack Harlow),29,9
9 นาฬิกา,30,11
Abyss,30,9
Agora Hills,29,10
All I Want for Christmas Is You,30,16
Armageddon,30,10
Ay-Yo,29,12
B.O.M.B,30,13
B.O.M.B - KABOOM ver.,30,12
BATTER UP,28,8
BF,30,12
BIRDS OF A FEATHER,29,16
Be Mine,30,12
Be There For Me,29,9
"Because of You, I Shine",29,12
Best Thing,29,11
Birthday,29,7
Blank Space (Taylor's Version),29,10
Boom Boom Bass,29,10
Chasing That Feeling,29,17
Chill Kill,30,13
Closer Than This,29,10
Closer to You (feat. Major Lazer),29,10
Come back to me,29,14
Cruel Summer,29,7
DAY ONE,29,16
Daechwita,29,8
Dandelion,30,15
Dangerous,30,8
Deja Vu,30,11
Die With A Smile,30,11
Dopamine - GISELLE Solo,29,15
Down Bad,29,10
Drama,29,10
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],29,10
EASY,29,8
Espresso,29,11
FAKE LOVE,29,5
FLOWER,28,8
FOREVER,30,7
FRI(END)S,30,13
Fact Check,29,10
Fatal Trouble,30,7
Forever Only,29,11
Fortnight (feat. Post Malone),28,11
GGUM,29,9
Give Me That - Korean Version,30,11
Golden Hour,29,7
Goodbye,30,13
HIT ME UP,29,5
Haegeum,29,10
Hate You,30,9
Highway 1009,30,8
How Sweet,29,10
How You Like That,29,17
I Just Wanna Know,30,7
Infatuated,29,10
Interlude : Dive,29,11
Interlude : Showtime,29,13
Jingle Bell Rock,30,8
KING KONG,29,9
LALALALA,29,12
LALISA,29,6
LAST PARADE,29,9
LET IT BURN,29,9
LIAR,30,10
LOST!,29,7
LUNCH,29,13
Last Christmas - Single Version,29,11
Left and Right (Feat. Jung Kook of BTS),29,16
Lie With You,29,7
Like Crazy,29,5
Little Light,30,8
Loop (ฉันจึงวนกลับมา),30,11
Love 119,29,12
Love Me Again,29,8
Luxury,29,6
MILLION DOLLAR BABY,29,14
MONEY,29,4
MORE,29,6
Magnetic,30,5
Mantra,29,9
Michi Teyu Ku (Overflowing),29,12
Moonlit Floor,29,11
My Love Mine All Mine,28,8
NEURON (with Gaeko & YOON MIRAE),30,8
Neva Play (feat. RM of BTS),30,11
Never Let Go,29,10
New Woman (feat. ROSALÍA),30,16
Nightwalker,30,11
No More Dream,30,14
ON TEN,30,12
"One Of The Girls (with JENNIE, Lily Rose Depp)",29,6
Paint Me Naked,29,11
Paint The Town Red,29,6
